ReactionID,Type,Stoichiometry,Orders,Phase,A,Ea,Reversible
I1,initiation,"{""PLIGH"": -1, ""PRLIGH"": 1}","{""PLIGH"": 1, ""PRLIGH"": 1}",solid,1.00E+13,163254,FALSE
I2,initiation,"{""LIGH"": -1, ""C3H6"": 1, ""OH"": 1, ""RLIGM2A"": 1}","{""LIGH"": 1, ""C3H6"": 1, ""OH"": 1, ""RLIGM2A"": 1}",gas,1.00E+13,163254,FALSE
I3,initiation,"{""LIGM2"": -1, ""RphenoxM2"": 1, ""RADIOM2"": 1}","{""LIGM2"": 1, ""RphenoxM2"": 1, ""RADIOM2"": 1}",gas,1.00E+13,163254,FALSE
I4,initiation,"{""PLIGM2"": -1, ""RphenoxM2"": 1, ""PRADIOM2"": 1}","{""PLIGM2"": 1, ""RphenoxM2"": 1, ""PRADIOM2"": 1}",gas,1.00E+13,163254,FALSE
I5,initiation,"{""LIG"": -1, ""Rphenox"": 1, ""RADIO"": 1}","{""LIG"": 1, ""Rphenox"": 1, ""RADIO"": 1}",gas,1.00E+13,184184,FALSE
I6,initiation,"{""PLIG"": -1, ""Rphenox"": 1, ""PRADIO"": 1}","{""PLIG"": 1, ""Rphenox"": 1, ""PRADIO"": 1}",gas,1.00E+13,188370,FALSE
I7,initiation,"{""PADIOM2"": -1, ""PRADIOM2"": 1}","{""PADIOM2"": 1, ""PRADIOM2"": 1}",solid,1.00E+13,171626,FALSE
I8,initiation,"{""PADIO"": -1, ""PRADIO"": 1}","{""PADIO"": 1, ""PRADIO"": 1}",solid,1.00E+13,179998,FALSE
P9,propagation,"{""PKETM2"": -1, ""PRKETM2"": 1}","{""PKETM2"": 1, ""PRKETM2"": 1}",solid,1.00E+13,167440,FALSE
P10,propagation,"{""PRKETM2"": -1, ""KETDM2"": 1, ""OH"": 1}","{""PRKETM2"": 1, ""KETDM2"": 1, ""OH"": 1}",solid,1.00E+13,121394,FALSE
P11,propagation,"{""RphenoxM2"": -1, ""CO"": 1, ""C10H2M4"": 0, ""H2"": 0}","{""RphenoxM2"": 1, ""CO"": 1, ""C10H2M4"": 1, ""H2"": 1}",gas,4.00E+10,209300,FALSE
P12,propagation,"{""Rphenox"": -1, ""CO"": 1, ""C10H2"": 0, ""H2"": 1}","{""Rphenox"": 1, ""CO"": 1, ""C10H2"": 1, ""H2"": 1}",gas,4.00E+10,209300,FALSE
I13,initiation,"{""RLIGH"": -1, ""RLIGM2A"": 1, ""ALD3"": 1}","{""RLIGH"": 1, ""RLIGM2A"": 1, ""ALD3"": 1}",gas,1.00E+13,133952,FALSE
I14,initiation,"{""PRLIGH2"": -1, ""PRLIGM2A"": 1, ""ALD3"": 1}","{""PRLIGH2"": 1, ""PRLIGM2A"": 1, ""ALD3"": 1}",solid,1.00E+13,133952,FALSE
I15,initiation,"{""RADIOM2"": -1, ""RMGUAI"": 1, ""C3H6O2"": 1}","{""RADIOM2"": 1, ""RMGUAI"": 1, ""C3H6O2"": 1}",gas,1.00E+13,133952,FALSE
I16,initiation,"{""RLIGM2A"": -1, ""KETM2"": 1, ""RphenoxM2"": 1}","{""RLIGM2A"": 1, ""KETM2"": 1, ""RphenoxM2"": 1}",gas,5.00E+12,133952,FALSE
I17,initiation,"{""PRLIGM2A"": -1, ""PKETM2"": 1, ""RphenoxM2"": 1}","{""PRLIGM2A"": 1, ""PKETM2"": 1, ""RphenoxM2"": 1}",gas,5.00E+12,133952,FALSE
I18,initiation,"{""RLIGM2B"": -1, ""RMGUAI"": 1, ""PFET3M2"": 1}","{""RLIGM2B"": 1, ""RMGUAI"": 1, ""PFET3M2"": 1}",gas,1.00E+13,163254,FALSE
P19,propagation,"{""PRFET3M2"": -1, ""RphenoxM2"": 1, ""C3H4O2"": 1}","{""PRFET3M2"": 1, ""RphenoxM2"": 1, ""C3H4O2"": 1}",gas,1.00E+13,133952,FALSE
I20,initiation,"{""RADIO"": -1, ""RPHENOL"": 1, ""C3H6O2"": 1}","{""RADIO"": 1, ""RPHENOL"": 1, ""C3H6O2"": 1}",gas,1.00E+13,163254,FALSE
I21,initiation,"{""RLIGA"": -1, ""KET"": 1, ""Rphenox"": 1}","{""RLIGA"": 1, ""KET"": 1, ""Rphenox"": 1}",gas,1.00E+13,138138,FALSE
I22,initiation,"{""RLIGB"": -1, ""RPHENOL"": 1, ""PFET3"": 1}","{""RLIGB"": 1, ""RPHENOL"": 1, ""PFET3"": 1}",gas,1.00E+13,163254,FALSE
P23,propagation,"{""PRFET3"": -1, ""Rphenox"": 1, ""C3H4O2"": 1}","{""PRFET3"": 1, ""Rphenox"": 1, ""C3H4O2"": 1}",gas,1.00E+13,138138,FALSE
I24,initiation,"{""RADIOM2"": -1, ""OH"": 1, ""SYNAPYL"": 1}","{""RADIOM2"": 1, ""OH"": 1, ""SYNAPYL"": 1}",gas,3.00E+11,104650,FALSE
T25,termination,"{""RKETM2"": -1, ""OH"": 1, ""KETDM2"": 1}","{""RKETM2"": 1, ""OH"": 1, ""KETDM2"": 1}",gas,3.00E+11,104650,FALSE
I26,initiation,"{""RADIO"": -1, ""OH"": 1, ""COUMARYL"": 1}","{""RADIO"": 1, ""OH"": 1, ""COUMARYL"": 1}",gas,3.00E+11,104650,FALSE
T27,termination,"{""RKET"": -1, ""OH"": 1, ""KETD"": 1}","{""RKET"": 1, ""OH"": 1, ""KETD"": 1}",gas,3.00E+11,113022,FALSE
U28,unknown,"{""RC3H7O2"": -1, ""RCH3O"": 1, ""CH3CHO"": 1}","{""RC3H7O2"": 1, ""RCH3O"": 1, ""CH3CHO"": 1}",gas,1.00E+13,129766,FALSE
P29,propagation,"{""C10H2M4"": 0, ""RCH3O"": 1, ""Rphenox"": 1}","{""C10H2M4"": 1, ""RCH3O"": 1, ""Rphenox"": 1}",gas,1.00E+13,196742,FALSE
P30,propagation,"{""C10H2M2"": -1, ""RCH3O"": 1, ""C10H2"": 0, ""Rphenox"": 1}","{""C10H2M2"": 1, ""RCH3O"": 1, ""C10H2"": 1, ""Rphenox"": 1}",gas,1.00E+13,196742,FALSE
I31,initiation,"{""PLIGC"": -1, ""PLIG"": 1, ""CH2CO"": 1}","{""PLIGC"": 1, ""PLIG"": 1, ""CH2CO"": 1}",solid,1.00E+08,121394,FALSE
I32,initiation,"{""PLIGO"": -1, ""PLIGM2"": 1, ""CO2"": 1}","{""PLIGO"": 1, ""PLIGM2"": 1, ""CO2"": 1}",solid,1.00E+09,108836,FALSE
I33,initiation,"{""ADIOM2"": -1, ""RphenoxM2"": -1, ""C10H2M4"": 1, ""H2"": 0, ""PH2"": 1, ""PCOH"": 2, ""RC3H7O2"": 1}","{""ADIOM2"": 1, ""RphenoxM2"": 1, ""C10H2M4"": 1, ""H2"": 1, ""PH2"": 1, ""PCOH"": 1, ""RC3H7O2"": 1}",gas,1.00E+09,121394,FALSE
