SpeciesID,MolecularWeight,Phase,InitialConcentration
KETM2,226,Solid,0.0
PCH3,15,Solid,0.0
SYNAPYL,210,Solid,0.0
PFET3M2,225,Solid,0.0
ALD3,100,LightTar,0.0
RLIGM2A,378,Gas,0.0
KETDM2,208,Solid,0.0
RCH3,15,Gas,0.0
C10H2,122,Solid,0.0
CO2,44,Solid,0.0
RphenoxM2,152,Gas,0.0
VSYNAPYL,100,HeavyTar,0.0
RLIGH,389,Gas,0.0
VPHENOL,100,HeavyTar,0.0
PCHO,29,Solid,0.0
PH2,2,Solid,0.0
KET,100,Solid,0.0
LIG,259,Solid,0.0
C3H4O,100,LightTar,0.0
RADIO,167,Solid,0.0
RLIGM2B,378,Solid,0.0
C3H4O2,100,Solid,0.0
PLIGM2,378,Solid,0.0
VCOUMARYL,100,HeavyTar,0.0
RPHENOL,91,Gas,0.0
CH3OH,100,LightTar,0.0
PC2H2,26,Solid,0.0
PCOH,28,Solid,0.0
CH4,16,Gas,0.0
PRLIGM2A,377,Solid,0.0
OH,17,Gas,0.0
PLIGH,436,Solid,10.0
RC3H7O2,100,LightTar,0.0
CH3CHO,44,Gas,0.0
RMGUAI,154,Solid,0.0
RCH3O,31,Gas,0.0
KETD,148,Solid,0.0
PCOHP2,91,Solid,0.0
COUMARYL,150,Solid,0.0
H2O,18,Gas,0.0
C10H2M4,244,Solid,0.0
PKETM2,225,Solid,0.0
PRADIOM2,226,Solid,0.0
LIGH,437,Solid,0.0
PCHOHP,30,Solid,0.0
VKETM2,100,HeavyTar,0.0
PCHP2,75,Solid,0.0
ETOH,58,Gas,0.0
VKETDM2,100,HeavyTar,0.0
CHAR,120,Solid,0.0
RKET,165,Solid,0.0
RLIGB,258,Solid,0.0
PCOS,28,Solid,0.0
RC3H3O,100,LightTar,0.0
H2,2,Gas,0.0
VKETD,100,HeavyTar,0.0
Rphenox,90,Solid,0.0
C3H6O2,100,LightTar,0.0
RLIGA,258,Solid,0.0
LIGM2,379,Solid,0.0
RKETM2,225,Solid,0.0
PRFET3,164,Solid,0.0
CH2CO,42,Gas,0.0
LIGC,301,Solid,0.0
C3H6,42,Gas,0.0
PADIOM2,227,Solid,0.0
C10H2M2,182,Solid,0.0
LIGO,423,Solid,0.0
VADIOM2,100,HeavyTar,0.0
PRLIGH2,435,Solid,0.0
PLIG,258,Solid,0.0
PRADIO,166,Solid,0.0
C3H8O2,100,LightTar,0.0
VKET,100,HeavyTar,0.0
PRKETM2,224,Solid,0.0
PCH2OH,31,Solid,0.0
C2H6,30,Gas,0.0
CO,28,Solid,0.0
PLIGO,422,Solid,10.0
PADIO,167,Solid,0.0
PFET3,165,Solid,0.0
PRFET3M2,225,Solid,0.0
RADIOM2,227,Gas,0.0
VMGUAI,100,HeavyTar,0.0
RC3H5O2,100,LightTar,0.0
PHENOL,94,Solid,0.0
ADIO,168,Solid,0.0
PLIGC,300,Solid,10.0
PRLIGH,435,Solid,0.0
VADIO,100,HeavyTar,0.0
MGUAI,154,Solid,0.0
ADIOM2,228,Solid,0.0
PCH2P,14,Solid,0.0
