SpeciesID,MolecularWeight,Phase,InitialConcentration
KETM2,100,Solid,0.0
PCH3,100,Solid,0.0
SYNAPYL,100,Solid,0.0
PFET3M2,100,Solid,0.0
ALD3,100,Solid,0.0
RLIGM2A,100,Gas,0.0
KETDM2,100,Solid,0.0
RCH3,100,Gas,0.0
C10H2,100,Solid,0.0
CO2,100,Solid,0.0
RPHENOXM2,100,Gas,0.0
VSYNAPYL,100,Solid,0.0
RLIGH,100,Gas,0.0
VPHENOL,100,Solid,0.0
PCHO,100,Solid,0.0
PH2,100,Solid,0.0
KET,100,Solid,0.0
LIG,100,Solid,0.0
C3H4O,100,Solid,0.0
RADIO,100,Gas,0.0
RLIGM2B,100,Gas,0.0
C3H4O2,100,Solid,0.0
PLIGM2,100,Solid,0.0
VCOUMARYL,100,Solid,0.0
RPHENOL,100,Gas,0.0
CH3OH,100,Solid,0.0
PC2H2,100,Solid,0.0
PCOH,100,Solid,0.0
CH4,100,Solid,0.0
PRLIGM2A,100,Solid,0.0
OH,100,Solid,0.0
PLIGH,100,Solid,0.0
RC3H7O2,100,Gas,0.0
CH3CHO,100,Solid,0.0
RMGUAI,100,Gas,0.0
RCH3O,100,Gas,0.0
KETD,100,Solid,0.0
PCOHP2,100,Solid,0.0
COUMARYL,100,Solid,0.0
H2O,100,Solid,0.0
C10H2M4,100,Solid,0.0
PKETM2,100,Solid,0.0
PRADIOM2,100,Solid,0.0
LIGH,100,Solid,0.0
PCHOHP,100,Solid,0.0
VKETM2,100,Solid,0.0
PCHP2,100,Solid,0.0
ETOH,100,Solid,0.0
VKETDM2,100,Solid,0.0
CHAR,100,Solid,0.0
RKET,100,Gas,0.0
RLIGB,100,Gas,0.0
PCOS,100,Solid,0.0
RC3H3O,100,Gas,0.0
H2,100,Solid,0.0
VKETD,100,Solid,0.0
RPHENOX,100,Gas,0.0
C3H6O2,100,Solid,0.0
RLIGA,100,Gas,0.0
LIGM2,100,Solid,0.0
RKETM2,100,Gas,0.0
PRFET3,100,Solid,0.0
CH2CO,100,Solid,0.0
LIGC,100,Solid,0.0
C3H6,100,Solid,0.0
PADIOM2,100,Solid,0.0
C10H2M2,100,Solid,0.0
LIGO,100,Solid,0.0
VADIOM2,100,Solid,0.0
PRLIGH2,100,Solid,0.0
PLIG,100,Solid,0.0
PRADIO,100,Solid,0.0
C3H8O2,100,Solid,0.0
VKET,100,Solid,0.0
PRKETM2,100,Solid,0.0
PCH2OH,100,Solid,0.0
C2H6,100,Solid,0.0
CO,100,Solid,0.0
PLIGO,100,Solid,0.0
PADIO,100,Solid,0.0
PFET3,100,Solid,0.0
PRFET3M2,100,Solid,0.0
RADIOM2,100,Gas,0.0
VMGUAI,100,Solid,0.0
RC3H5O2,100,Gas,0.0
PHENOL,100,Solid,0.0
ADIO,100,Solid,0.0
PLIGC,100,Solid,0.0
PRLIGH,100,Solid,0.0
VADIO,100,Solid,0.0
MGUAI,100,Solid,0.0
ADIOM2,100,Solid,0.0
PCH2P,100,Solid,0.0
