ReactionID,Type,Stoichiometry,Orders,Phase,A,Ea,Reversible
I1,initiation,"{""PLIGH"": -1, ""PRLIGH"": 1}","{""PLIGH"": 1, ""PRLIGH"": 0}",solid,1.00E+13,163254,False
I2,initiation,"{""LIGH"": -1, ""C3H6"": 1, ""OH"": 1, ""RLIGM2A"": 1}","{""LIGH"": 1, ""C3H6"": 0, ""OH"": 0, ""RLIGM2A"": 0}",gas,1.00E+13,163254,False
I3,initiation,"{""LIGM2"": -1, ""RphenoxM2"": 1, ""RADIOM2"": 1}","{""LIGM2"": 1, ""RphenoxM2"": 0, ""RADIOM2"": 0}",gas,1.00E+13,163254,False
I4,initiation,"{""PLIGM2"": -1, ""RphenoxM2"": 1, ""PRADIOM2"": 1}","{""PLIGM2"": 1, ""RphenoxM2"": 0, ""PRADIOM2"": 0}",gas,1.00E+13,163254,False
I5,initiation,"{""LIG"": -1, ""Rphenox"": 1, ""RADIO"": 1}","{""LIG"": 1, ""Rphenox"": 0, ""RADIO"": 0}",gas,1.00E+13,184184,False
I6,initiation,"{""PLIG"": -1, ""Rphenox"": 1, ""PRADIO"": 1}","{""PLIG"": 1, ""Rphenox"": 0, ""PRADIO"": 0}",gas,1.00E+13,188370,False
I7,initiation,"{""PADIOM2"": -1, ""PRADIOM2"": 1}","{""PADIOM2"": 1, ""PRADIOM2"": 0}",solid,1.00E+13,171626,False
I8,initiation,"{""PADIO"": -1, ""PRADIO"": 1}","{""PADIO"": 1, ""PRADIO"": 0}",solid,1.00E+13,179998,False
P9,propagation,"{""PKETM2"": -1, ""PRKETM2"": 1}","{""PKETM2"": 1, ""PRKETM2"": 0}",solid,1.00E+13,167440,False
P10,propagation,"{""PRKETM2"": -1, ""KETDM2"": 1, ""OH"": 1}","{""PRKETM2"": 1, ""KETDM2"": 0, ""OH"": 0}",solid,1.00E+13,121394,False
P11,propagation,"{""RphenoxM2"": -1, ""CO"": 1, ""C10H2M4"": 0, ""H2"": 0}","{""RphenoxM2"": 1, ""CO"": 0, ""C10H2M4"": 0, ""H2"": 0}",gas,4.00E+10,209300,False
P12,propagation,"{""Rphenox"": -1, ""CO"": 1, ""C10H2"": 0, ""H2"": 1}","{""Rphenox"": 1, ""CO"": 0, ""C10H2"": 0, ""H2"": 0}",gas,4.00E+10,209300,False
I13,initiation,"{""RLIGH"": -1, ""RLIGM2A"": 1, ""ALD3"": 1}","{""RLIGH"": 1, ""RLIGM2A"": 0, ""ALD3"": 0}",gas,1.00E+13,133952,False
I14,initiation,"{""PRLIGH2"": -1, ""PRLIGM2A"": 1, ""ALD3"": 1}","{""PRLIGH2"": 1, ""PRLIGM2A"": 0, ""ALD3"": 0}",solid,1.00E+13,133952,False
I15,initiation,"{""RADIOM2"": -1, ""RMGUAI"": 1, ""C3H6O2"": 1}","{""RADIOM2"": 1, ""RMGUAI"": 0, ""C3H6O2"": 0}",gas,1.00E+13,133952,False
I16,initiation,"{""RLIGM2A"": -1, ""KETM2"": 1, ""RphenoxM2"": 1}","{""RLIGM2A"": 1, ""KETM2"": 0, ""RphenoxM2"": 0}",gas,5.00E+12,133952,False
I17,initiation,"{""PRLIGM2A"": -1, ""PKETM2"": 1, ""RphenoxM2"": 1}","{""PRLIGM2A"": 1, ""PKETM2"": 0, ""RphenoxM2"": 0}",gas,5.00E+12,133952,False
I18,initiation,"{""RLIGM2B"": -1, ""RMGUAI"": 1, ""PFET3M2"": 1}","{""RLIGM2B"": 1, ""RMGUAI"": 0, ""PFET3M2"": 0}",gas,1.00E+13,163254,False
P19,propagation,"{""PRFET3M2"": -1, ""RphenoxM2"": 1, ""C3H4O2"": 1}","{""PRFET3M2"": 0, ""RphenoxM2"": 0, ""C3H4O2"": 0}",gas,1.00E+13,133952,False
I20,initiation,"{""RADIO"": -1, ""RPHENOL"": 1, ""C3H6O2"": 1}","{""RADIO"": 1, ""RPHENOL"": 0, ""C3H6O2"": 0}",gas,1.00E+13,163254,False
I21,initiation,"{""RLIGA"": -1, ""KET"": 1, ""Rphenox"": 1}","{""RLIGA"": 1, ""KET"": 0, ""Rphenox"": 0}",gas,1.00E+13,138138,False
I22,initiation,"{""RLIGB"": -1, ""RPHENOL"": 1, ""PFET3"": 1}","{""RLIGB"": 1, ""RPHENOL"": 0, ""PFET3"": 0}",gas,1.00E+13,163254,False
P23,propagation,"{""PRFET3"": -1, ""Rphenox"": 1, ""C3H4O2"": 1}","{""PRFET3"": 1, ""Rphenox"": 0, ""C3H4O2"": 0}",gas,1.00E+13,138138,False
I24,initiation,"{""RADIOM2"": -1, ""OH"": 1, ""SYNAPYL"": 1}","{""RADIOM2"": 1, ""OH"": 0, ""SYNAPYL"": 0}",gas,3.00E+11,104650,False
T25,termination,"{""RKETM2"": -1, ""OH"": 1, ""KETDM2"": 1}","{""RKETM2"": 1, ""OH"": 0, ""KETDM2"": 0}",gas,3.00E+11,104650,False
I26,initiation,"{""RADIO"": -1, ""OH"": 1, ""COUMARYL"": 1}","{""RADIO"": 1, ""OH"": 0, ""COUMARYL"": 0}",gas,3.00E+11,104650,False
T27,termination,"{""RKET"": -1, ""OH"": 1, ""KETD"": 1}","{""RKET"": 1, ""OH"": 0, ""KETD"": 0}",gas,3.00E+11,113022,False
U28,unknown,"{""RC3H7O2"": -1, ""RCH3O"": 1, ""CH3CHO"": 1}","{""RC3H7O2"": 1, ""RCH3O"": 0, ""CH3CHO"": 0}",gas,1.00E+13,129766,False
P29,propagation,"{""C10H2M4"": 0, ""RCH3O"": 1, ""Rphenox"": 1}","{""C10H2M4"": 1, ""RCH3O"": 0, ""Rphenox"": 0}",gas,1.00E+13,196742,False
P30,propagation,"{""C10H2M2"": -1, ""RCH3O"": 1, ""C10H2"": 0, ""Rphenox"": 1}","{""C10H2M2"": 1, ""RCH3O"": 0, ""C10H2"": 0, ""Rphenox"": 0}",gas,1.00E+13,196742,False
I31,initiation,"{""PLIGC"": -1, ""PLIG"": 1, ""CH2CO"": 1}","{""PLIGC"": 1, ""PLIG"": 0, ""CH2CO"": 0}",solid,1.00E+08,121394,False
I32,initiation,"{""PLIGO"": -1, ""PLIGM2"": 1, ""CO2"": 1}","{""PLIGO"": 1, ""PLIGM2"": 0, ""CO2"": 0}",solid,1.00E+09,108836,False
I33,initiation,"{""ADIOM2"": -1, ""RphenoxM2"": -1, ""C10H2M4"": 1, ""H2"": 0, ""PH2"": 1, ""PCOH"": 2, ""RC3H7O2"": 1}","{""ADIOM2"": 1, ""RphenoxM2"": 1, ""C10H2M4"": 0, ""H2"": 0, ""PH2"": 0, ""PCOH"": 0, ""RC3H7O2"": 0}",gas,1.00E+09,121394,False
P34,propagation,"{""KETM2"": -1, ""RphenoxM2"": -1, ""C10H2M4"": 1, ""H2"": 0, ""PH2"": 1, ""PCOH"": 2, ""RC3H5O2"": 1}","{""KETM2"": 1, ""RphenoxM2"": 1, ""C10H2M4"": 0, ""H2"": 0, ""PH2"": 0, ""PCOH"": 0, ""RC3H5O2"": 0}",gas,1.00E+09,121394,False
P35,propagation,"{""KETDM2"": -1, ""RphenoxM2"": -1, ""C10H2M4"": 1, ""H2"": 0, ""PH2"": 1, ""PCOH"": 2, ""RC3H3O"": 1}","{""KETDM2"": 1, ""RphenoxM2"": 1, ""C10H2M4"": 0, ""H2"": 0, ""PH2"": 0, ""PCOH"": 0, ""RC3H3O"": 0}",gas,1.00E+09,121394,False
P36,propagation,"{""SYNAPYL"": -1, ""RphenoxM2"": -1, ""C10H2M4"": 1, ""H2"": 1, ""PH2"": 1, ""PCOH"": 2, ""RC3H3O"": 1}","{""SYNAPYL"": 1, ""RphenoxM2"": 1, ""C10H2M4"": 0, ""H2"": 0, ""PH2"": 0, ""PCOH"": 0, ""RC3H3O"": 0}",gas,1.00E+09,121394,False
I37,initiation,"{""ADIOM2"": -1, ""Rphenox"": -1, ""C10H2M4"": 0, ""H2"": 0, ""PH2"": 1, ""PCOS"": 1, ""PCOH"": 1, ""RC3H7O2"": 1}","{""ADIOM2"": 1, ""Rphenox"": 1, ""C10H2M4"": 0, ""H2"": 0, ""PH2"": 0, ""PCOS"": 0, ""PCOH"": 0, ""RC3H7O2"": 0}",gas,1.00E+09,121394,False
P38,propagation,"{""KETM2"": -1, ""Rphenox"": -1, ""C10H2M4"": 0, ""C10H2"": 0, ""H2"": 0, ""PH2"": 2, ""PCOS"": 2, ""RC3H5O2"": 1}","{""KETM2"": 1, ""Rphenox"": 1, ""C10H2M4"": 0, ""C10H2"": 0, ""H2"": 0, ""PH2"": 0, ""PCOS"": 0, ""RC3H5O2"": 0}",gas,1.00E+09,121394,False
P39,propagation,"{""KETDM2"": -1, ""Rphenox"": -1, ""C10H2M4"": 0, ""C10H2"": 0, ""H2"": 0, ""PH2"": 2, ""PCOS"": 1, ""PCOH"": 1, ""RC3H3O"": 1}","{""KETDM2"": 1, ""Rphenox"": 1, ""C10H2M4"": 0, ""C10H2"": 0, ""H2"": 0, ""PH2"": 0, ""PCOS"": 0, ""PCOH"": 0, ""RC3H3O"": 0}",gas,1.00E+09,121394,False
